Time          F_x          F_y          F_z
1.2850e+00  4.2285e+01  -2.9599e+00  0.0000e+00
1.2900e+00  4.2378e+01  -1.9867e+00  0.0000e+00
1.2950e+00  4.2595e+01  6.5327e+00  0.0000e+00
1.3000e+00  4.2131e+01  -9.0312e+00  0.0000e+00
1.3050e+00  4.2768e+01  8.7062e+00  0.0000e+00
1.3100e+00  4.2151e+01  -6.4204e+00  0.0000e+00
1.3150e+00  4.2548e+01  2.2494e+00  0.0000e+00
1.3200e+00  4.2413e+01  8.3384e-01  0.0000e+00
1.3250e+00  4.2395e+01  -3.4713e+00  0.0000e+00
1.3300e+00  4.2533e+01  2.5569e+00  0.0000e+00
1.3350e+00  4.2474e+01  -8.0858e-01  0.0000e+00
1.3400e+00  4.2415e+01  -4.1205e+00  0.0000e+00
1.3450e+00  4.2879e+01  7.5301e+00  0.0000e+00
1.3500e+00  4.2188e+01  -1.1840e+01  0.0000e+00
1.3550e+00  4.3022e+01  1.1389e+01  0.0000e+00
1.3600e+00  4.2114e+01  -1.0749e+01  0.0000e+00
1.3650e+00  4.2729e+01  5.2544e+00  0.0000e+00
1.3700e+00  4.2416e+01  -1.4114e+00  0.0000e+00
1.3750e+00  4.2483e+01  -4.6595e+00  0.0000e+00
1.3800e+00  4.2758e+01  6.0188e+00  0.0000e+00
1.3850e+00  4.2267e+01  -7.8364e+00  0.0000e+00
1.3900e+00  4.2726e+01  4.0992e+00  0.0000e+00
1.3950e+00  4.2404e+01  -2.2206e+00  0.0000e+00
1.4000e+00  4.2486e+01  -3.2097e+00  0.0000e+00
1.4050e+00  4.2549e+01  3.6242e+00  0.0000e+00
1.4100e+00  4.2335e+01  -5.4903e+00  0.0000e+00
1.4150e+00  4.2509e+01  9.6029e-01  0.0000e+00
1.4200e+00  4.2602e+01  1.2360e+00  0.0000e+00
1.4250e+00  4.2220e+01  -8.1360e+00  0.0000e+00
1.4300e+00  4.2891e+01  9.7207e+00  0.0000e+00
1.4350e+00  4.2047e+01  -1.3504e+01  0.0000e+00
1.4400e+00  4.2955e+01  1.0214e+01  0.0000e+00
1.4450e+00  4.2155e+01  -8.9576e+00  0.0000e+00
1.4500e+00  4.2759e+01  1.9618e+00  0.0000e+00
1.4550e+00  4.2568e+01  2.3537e-01  0.0000e+00
1.4600e+00  4.2488e+01  -5.3152e+00  0.0000e+00
