Time          F_x          F_y          F_z
2.8400e+00  1.4638e+00  -9.5441e-01  0.0000e+00
2.8500e+00  1.3949e+00  -4.5803e-01  0.0000e+00
2.8600e+00  1.3704e+00  -5.6873e-02  0.0000e+00
2.8700e+00  1.3775e+00  2.6116e-01  0.0000e+00
2.8800e+00  1.3975e+00  5.2541e-01  0.0000e+00
2.8900e+00  1.4123e+00  8.4061e-01  0.0000e+00
2.9000e+00  1.4375e+00  1.1125e+00  0.0000e+00
2.9100e+00  1.4893e+00  1.2164e+00  0.0000e+00
2.9200e+00  1.5724e+00  1.0343e+00  0.0000e+00
2.9300e+00  1.6411e+00  7.3337e-01  0.0000e+00
2.9400e+00  1.6421e+00  5.7716e-01  0.0000e+00
2.9500e+00  1.5914e+00  6.8878e-01  0.0000e+00
2.9600e+00  1.5321e+00  1.0561e+00  0.0000e+00
2.9700e+00  1.4914e+00  1.4759e+00  0.0000e+00
2.9800e+00  1.4736e+00  1.8302e+00  0.0000e+00
2.9900e+00  1.4889e+00  2.1500e+00  0.0000e+00
3.0000e+00  1.5641e+00  2.6700e+00  0.0000e+00
3.0100e+00  1.7371e+00  3.4768e+00  0.0000e+00
3.0200e+00  1.9995e+00  4.4175e+00  0.0000e+00
3.0300e+00  2.2296e+00  5.0121e+00  0.0000e+00
3.0400e+00  2.2536e+00  4.8024e+00  0.0000e+00
3.0500e+00  2.0955e+00  3.8886e+00  0.0000e+00
3.0600e+00  1.9074e+00  2.8456e+00  0.0000e+00
3.0700e+00  1.7639e+00  2.0466e+00  0.0000e+00
3.0800e+00  1.6542e+00  1.4288e+00  0.0000e+00
3.0900e+00  1.5704e+00  7.0971e-01  0.0000e+00
3.1000e+00  1.5349e+00  -2.3929e-01  0.0000e+00
3.1100e+00  1.5557e+00  -1.2109e+00  0.0000e+00
3.1200e+00  1.5904e+00  -1.9056e+00  0.0000e+00
3.1300e+00  1.5796e+00  -2.0995e+00  0.0000e+00
3.1400e+00  1.5301e+00  -1.9433e+00  0.0000e+00
3.1500e+00  1.4781e+00  -1.6565e+00  0.0000e+00
3.1600e+00  1.4745e+00  -1.4977e+00  0.0000e+00
3.1700e+00  1.5112e+00  -1.4515e+00  0.0000e+00
3.1800e+00  1.5725e+00  -1.4848e+00  0.0000e+00
3.1900e+00  1.6150e+00  -1.3645e+00  0.0000e+00
3.2000e+00  1.6408e+00  -1.1385e+00  0.0000e+00
3.2100e+00  1.6431e+00  -8.1147e-01  0.0000e+00
3.2200e+00  1.6403e+00  -5.7699e-01  0.0000e+00
3.2300e+00  1.6275e+00  -3.8578e-01  0.0000e+00
3.2400e+00  1.6048e+00  -2.2033e-01  0.0000e+00
3.2500e+00  1.5704e+00  1.0300e-01  0.0000e+00
3.2600e+00  1.5379e+00  4.8688e-01  0.0000e+00
3.2700e+00  1.5058e+00  8.3658e-01  0.0000e+00
3.2800e+00  1.4771e+00  1.1589e+00  0.0000e+00
3.2900e+00  1.4778e+00  1.5158e+00  0.0000e+00
3.3000e+00  1.5400e+00  1.9825e+00  0.0000e+00
3.3100e+00  1.6762e+00  2.5032e+00  0.0000e+00
3.3200e+00  1.8863e+00  3.0816e+00  0.0000e+00
3.3300e+00  2.1219e+00  3.5576e+00  0.0000e+00
3.3400e+00  2.2790e+00  3.7934e+00  0.0000e+00
3.3500e+00  2.2404e+00  3.4659e+00  0.0000e+00
3.3600e+00  2.0251e+00  2.4961e+00  0.0000e+00
3.3700e+00  1.7994e+00  1.2158e+00  0.0000e+00
3.3800e+00  1.6665e+00  1.3558e-01  0.0000e+00
3.3900e+00  1.6114e+00  -7.4620e-01  0.0000e+00
3.4000e+00  1.6239e+00  -1.6837e+00  0.0000e+00
3.4100e+00  1.7183e+00  -2.7337e+00  0.0000e+00
3.4200e+00  1.8562e+00  -3.6279e+00  0.0000e+00
3.4300e+00  1.9395e+00  -4.0458e+00  0.0000e+00
3.4400e+00  1.9412e+00  -3.9976e+00  0.0000e+00
3.4500e+00  1.8930e+00  -3.6325e+00  0.0000e+00
3.4600e+00  1.8696e+00  -3.2782e+00  0.0000e+00
3.4700e+00  1.8724e+00  -2.9894e+00  0.0000e+00
3.4800e+00  1.8834e+00  -2.7994e+00  0.0000e+00
3.4900e+00  1.8475e+00  -2.4462e+00  0.0000e+00
